,-1,0,1
11,0.15723270440251574,0.0,0.015384615384615384
10,0.06498951781970651,0.147887323943662,0.04999999999999999
12,0.14884696016771493,0.038732394366197194,0.015384615384615384
15,0.12788259958071282,0.04577464788732395,0.04615384615384615
1,0.09643605870020965,0.1302816901408451,0.0
0,0.05031446540880504,0.1619718309859155,0.061538461538461535
3,0.02935010482180294,0.2042253521126761,0.05384615384615385
2,0.12788259958071282,0.0563380281690141,0.03461538461538462
5,0.0,0.02816901408450705,0.29615384615384616
4,0.033542976939203356,0.038732394366197194,0.22692307692307692
7,0.0209643605870021,0.10563380281690143,0.17692307692307688
8,0.14255765199161427,0.04225352112676057,0.023076923076923075
